C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U,main
1,293.673,120.1900024,2,2,2,1,37980.755,1
1,12429.447,117.8290024,0,1,1,1.636000037,0,1
0,7095.919,84.46859741,0,1,1,1.799999952,0,0
1,31199.725,155.6419983,2,2,2,1.998999953,28281.464,1
1,37980.755,122.0199966,0,1,1,1.886000037,0,1
0,17650.252,117.9049988,0,1,1,1.567000031,0,0
1,37636.831,169.8789978,2,3,3,1.582999945,16457.461,1
1,25780.73,101.9260025,2,24,12,1.649000049,180188.226,1
1,2019.554,113.5859985,2,25,13,1.006999969,205968.956,1
0,18693.957,126.8300018,2,3,3,1.842000008,38274.428,0
0,7591.991,90.48190308,0,1,1,1.646999955,0,0
1,3766.905,149.3450012,2,26,14,1.22300005,207988.51,1
1,4478.841,138.3650055,0,1,1,1.264000058,0,1
0,37325.589,17.98830032,2,53,22,1.514000058,261996.545,0
0,19640.516,101.3690033,0,1,1,1.600999951,0,0
1,19637.022,110.9749985,2,52,21,1.312000036,242359.523,1
0,8404.335,179.0599976,2,28,16,1.101999998,233955.188,0
0,31420.902,103.0950012,2,47,19,1.516000032,261489.579,0
1,11734.613,160.1269989,2,6,4,1.773000002,56968.385,1
0,17570.78,154.128006,0,1,1,1.886000037,0,0
1,28281.464,171.552002,0,1,1,1.937000036,0,1
1,22199.773,175.5579987,2,27,15,1.228000045,211755.415,1
0,17419.345,131.8159943,2,3,3,1.919999957,20434.687,0
0,20887.651,60.12850189,0,1,1,1.39199996,0,0
1,3071.113,140.345993,2,15,8,1.02699995,109945.626,1
1,5111.04,109.9489975,2,9,7,1.702999949,104834.586,1
1,9973.316,154.7969971,2,46,18,1.274999976,251516.263,1
0,13832.427,33.19509888,0,1,1,1.340999961,0,0
0,10903.676,108.3830032,0,1,1,1.34800005,0,0
1,20460.247,159.4779968,2,8,6,1.631999969,84374.339,1
1,15671.341,124.9869995,2,7,5,1.934000015,68702.998,1
0,11920.85,155.9420013,0,1,1,1.381999969,0,0
1,10662.522,171.1860046,2,2,2,1.333999991,9772.165,1
0,19983.31,84.73470306,0,1,1,1.694000006,0,0
1,34723.05,176.6909943,0,1,1,1.952000022,0,1
0,20999.147,120.3820038,2,6,6,1.345999956,51766.218,0
1,494.469,133.2319946,2,5,5,1.023000002,51271.749,1
0,12755.696,150.7899933,0,1,1,1.603999972,0,0
1,5730.027,126.8099976,2,45,17,1.253999949,245786.236,1
1,6428.583,136.8399963,0,1,1,1.151000023,0,1
1,18191.374,98.22930145,2,24,20,1.299000025,200733.52,1
0,9772.165,116.348999,0,1,1,1.447999954,0,0
0,32863.868,144.6340027,0,1,1,1.519000053,0,0
1,7011.646,95.7141037,2,4,4,1.511999965,44260.103,1
0,15508.228,125.0670013,0,1,1,1.792999983,0,0
0,42737.427,88.85510254,0,1,1,1.695000052,0,0
1,11162.048,145.125,2,23,19,1.350999951,189571.472,1
0,37209.177,147.1329956,0,1,1,1.628000021,0,0
0,14415.13,135.0690002,0,1,1,1.970999956,0,0
