ID,Name,Next reach ID,C_S,N_R,N_S,D_R,M_U
129,水茜溪1,123,0,0,1,1,0.0
130,尤溪,140,1,2,16,10,168200.294
131,闽江,102,1,2,175,30,418347.0800000001
132,尤溪3,118,0,0,1,1,0.0
133,沙溪3,378,0,0,1,1,0.0
134,黄沙溪1,122,0,0,1,1,0.0
135,豆土溪,136,0,2,3,3,23121.955
136,沙溪,378,1,2,39,21,274321.039
137,半溪,121,0,0,1,1,0.0
138,尤溪1,140,0,0,1,1,0.0
139,沙溪,142,1,2,34,19,238920.90199999997
140,尤溪,143,0,2,17,11,181515.03399999999
141,水茜溪,123,1,2,2,2,22247.960000000003
142,沙溪,136,1,2,36,20,271465.845
143,闽江,379,1,2,162,28,379399.30700000003
144,水茜溪2,141,0,0,1,1,0.0
145,古田溪,131,0,2,12,7,89084.293
146,古田溪2,147,0,0,1,1,0.0
147,古田溪1,145,0,2,2,2,7710.509999999999
148,洋天溪,379,0,0,1,1,0.0
149,古田溪1,147,1,0,1,1,0.0
150,东溪,142,0,2,2,2,25971.724
151,金溪6,153,1,0,1,1,0.0
152,金溪7,153,0,0,1,1,0.0
153,金溪6,163,1,2,2,2,21717.882999999998
154,闽江,143,1,2,145,27,351887.592
155,金溪,188,1,0,1,1,0.0
156,东溪1,150,0,0,1,1,0.0
157,沙溪,162,0,2,41,23,302934.985
158,金溪2,168,1,0,1,1,0.0
159,金溪7,163,0,0,1,1,0.0
160,金溪3,168,0,0,1,1,0.0
161,安远溪,188,0,2,2,2,14887.788
162,闽江,172,1,2,94,24,316512.006
163,金溪6,375,1,2,3,3,30200.23
164,金溪7,375,0,0,1,1,0.0
165,安远溪1,161,0,0,1,1,0.0
166,安远溪,161,1,0,1,1,0.0
167,古田溪5,169,0,0,1,1,0.0
168,金溪2,174,1,2,2,2,7325.209999999999
169,古田溪4,381,0,2,4,4,27083.069
170,东溪,150,1,0,1,1,0.0
