FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
220,221,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,5730.027000000000000,220.000000000000000,118.2979965,26.9106007,118.3050003,26.8686008,118.3050003,26.8686008,26.8187008,118.2500000
221,222,3,崇洋溪,1.000000000000000,1.000000000000000,0.000000000000000,6428.582999999999600,221.000000000000000,118.7160034,26.9234009,118.7610016,26.8936005,118.7610016,26.8936005,26.8201008,118.7760010
222,223,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,18191.374000000000000,222.000000000000000,117.7770004,26.9246006,117.7969971,26.7949009,117.7969971,26.7949009,26.7940006,117.9430008
223,224,4,崇洋溪1,-1.000000000000000,0.000000000000000,0.000000000000000,9772.165000000000900,223.000000000000000,118.8150024,26.9297009,118.7610016,26.8936005,118.7610016,26.8936005,26.8201008,118.7760010
224,225,4,积善溪,-1.000000000000000,0.000000000000000,0.000000000000000,32863.868000000002000,224.000000000000000,117.3860016,26.9337997,117.5070038,26.7670002,117.5070038,26.7670002,26.7605991,117.5250015
225,226,4,金溪10,1.000000000000000,1.000000000000000,2.000000000000000,7011.645999999999700,225.000000000000000,117.2040024,26.9377995,117.1800003,26.9001999,117.1800003,26.9001999,26.9018002,117.1760025
226,227,4,金溪14,-1.000000000000000,0.000000000000000,0.000000000000000,15508.227999999999000,226.000000000000000,116.8489990,26.9440994,116.8909988,26.8736000,116.8909988,26.8736000,26.8605003,117.0100021
227,228,3,小桥溪,-1.000000000000000,0.000000000000000,0.000000000000000,42737.427000000003000,227.000000000000000,118.5390015,26.9382992,118.2979965,26.9106007,118.2979965,26.9106007,26.8686008,118.3050003
228,229,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,11162.048000000001000,228.000000000000000,117.7239990,26.9831009,117.7770004,26.9246006,117.7770004,26.9246006,25.9988003,117.8519974
229,230,3,路兹溪,-1.000000000000000,0.000000000000000,0.000000000000000,37209.177000000003000,229.000000000000000,117.9940033,27.0032005,117.9430008,26.7940006,117.9430008,26.7940006,26.5781002,118.0329971
230,231,5,朱口溪,-1.000000000000000,0.000000000000000,0.000000000000000,14415.129999999999000,230.000000000000000,117.1839981,27.0039997,117.2040024,26.9377995,117.2040024,26.9377995,26.9001999,117.1800003
231,232,4,金溪13,-1.000000000000000,0.000000000000000,0.000000000000000,30063.393000000000000,231.000000000000000,117.0029984,27.0226002,117.0100021,26.8605003,117.0100021,26.8605003,26.8488007,117.0350037
232,233,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,19273.444000000000000,232.000000000000000,118.3160019,27.0298004,118.2979965,26.9106007,118.2979965,26.9106007,26.8686008,118.3050003
233,234,5,左圣溪,-1.000000000000000,0.000000000000000,0.000000000000000,25602.490000000002000,233.000000000000000,117.1039963,27.0333004,117.1760025,26.9018002,117.1760025,26.9018002,26.8488007,117.0350037
234,235,3,高阳溪,-1.000000000000000,0.000000000000000,0.000000000000000,49370.544000000002000,234.000000000000000,118.1350021,27.0410004,118.2500000,26.8187008,118.2500000,26.8187008,26.6380997,118.1790009
235,236,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,2937.690999999999800,235.000000000000000,118.3000031,27.0515995,118.3160019,27.0298004,118.3160019,27.0298004,26.9106007,118.2979965
236,237,3,富屯溪6,-1.000000000000000,1.000000000000000,0.000000000000000,46350.425000000003000,236.000000000000000,117.4550018,27.0564003,117.7239990,26.9831009,117.7239990,26.9831009,26.9246006,117.7770004
237,238,4,金溪10,1.000000000000000,1.000000000000000,2.000000000000000,22676.826000000001000,237.000000000000000,117.2789993,27.0723991,117.2040024,26.9377995,117.2040024,26.9377995,26.9001999,117.1800003
238,239,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,18613.519000000000000,238.000000000000000,117.6620026,27.1019993,117.7239990,26.9831009,117.7239990,26.9831009,26.9246006,117.7770004
239,240,3,密溪,-1.000000000000000,1.000000000000000,0.000000000000000,15571.764999999999000,239.000000000000000,117.5469971,27.0699005,117.6409988,27.1040993,117.6409988,27.1040993,27.1019993,117.6620026
240,241,2,富屯溪,1.000000000000000,1.000000000000000,2.000000000000000,3178.610999999999900,240.000000000000000,117.6409988,27.1040993,117.6620026,27.1019993,117.6620026,27.1019993,26.9831009,117.7239990
241,242,3,富屯溪5,-1.000000000000000,1.000000000000000,0.000000000000000,39126.953999999998000,241.000000000000000,117.9150009,27.1170006,117.7770004,26.9246006,117.7770004,26.9246006,25.9988003,117.8519974
242,243,4,金溪10,1.000000000000000,1.000000000000000,2.000000000000000,11379.349000000000000,242.000000000000000,117.3040009,27.1434994,117.2789993,27.0723991,117.2789993,27.0723991,26.9377995,117.2040024
243,244,5,金溪12,-1.000000000000000,0.000000000000000,0.000000000000000,5032.733000000000200,243.000000000000000,117.3420029,27.1509991,117.3040009,27.1434994,117.3040009,27.1434994,27.0723991,117.2789993
244,245,5,水源溪1,-1.000000000000000,0.000000000000000,0.000000000000000,16174.679000000000000,244.000000000000000,118.8320007,27.1058006,118.7429962,27.1564007,118.7429962,27.1564007,27.1748009,118.6760025
245,246,4,水源溪,1.000000000000000,1.000000000000000,0.000000000000000,2960.829999999999900,245.000000000000000,118.7689972,27.1530991,118.7429962,27.1564007,118.7429962,27.1564007,27.1748009,118.6760025
246,247,3,朱坊河,-1.000000000000000,1.000000000000000,0.000000000000000,12418.550999999999000,246.000000000000000,117.7279968,27.1737995,117.6620026,27.1019993,117.6620026,27.1019993,26.9831009,117.7239990
247,248,3,松溪,-1.000000000000000,0.000000000000000,2.000000000000000,50714.589000000000000,247.000000000000000,118.6760025,27.1748009,118.3160019,27.0298004,118.3160019,27.0298004,26.9106007,118.2979965
248,249,4,水源溪,-1.000000000000000,0.000000000000000,2.000000000000000,8291.866000000000000,248.000000000000000,118.7429962,27.1564007,118.6760025,27.1748009,118.6760025,27.1748009,27.3355007,118.7089996
249,250,5,李宁溪,-1.000000000000000,0.000000000000000,0.000000000000000,21583.276999999998000,249.000000000000000,117.2080002,27.1639004,117.2789993,27.0723991,117.2789993,27.0723991,26.9377995,117.2040024
